Processing /home/gridsan/akolodziej/TED/ted_365m.domain_summary.cath.globularity.taxid.tsv
Output will be written to outputs/nested_domain_pairs_validations.tsv
Processed 10000 lines, found 14 nested pairs, skipped 1979 low quality
Processed 20000 lines, found 35 nested pairs, skipped 4078 low quality
Processed 30000 lines, found 58 nested pairs, skipped 6291 low quality
Processed 40000 lines, found 83 nested pairs, skipped 8367 low quality
Processed 50000 lines, found 110 nested pairs, skipped 10545 low quality
Processed 60000 lines, found 133 nested pairs, skipped 12697 low quality
Processed 70000 lines, found 150 nested pairs, skipped 14866 low quality
Processed 80000 lines, found 167 nested pairs, skipped 17138 low quality
Processed 90000 lines, found 178 nested pairs, skipped 19267 low quality
Processed 100000 lines, found 187 nested pairs, skipped 21375 low quality
Processed 110000 lines, found 197 nested pairs, skipped 23555 low quality
Processed 120000 lines, found 211 nested pairs, skipped 25715 low quality
Processed 130000 lines, found 219 nested pairs, skipped 27872 low quality
Processed 140000 lines, found 225 nested pairs, skipped 29689 low quality
Processed 150000 lines, found 231 nested pairs, skipped 31468 low quality
Processed 160000 lines, found 241 nested pairs, skipped 33303 low quality
Processed 170000 lines, found 247 nested pairs, skipped 35222 low quality
Processed 180000 lines, found 262 nested pairs, skipped 37262 low quality
Processed 190000 lines, found 272 nested pairs, skipped 39217 low quality
Processed 200000 lines, found 285 nested pairs, skipped 41189 low quality
Processed 210000 lines, found 313 nested pairs, skipped 43393 low quality
Processed 220000 lines, found 327 nested pairs, skipped 45474 low quality
Processed 230000 lines, found 340 nested pairs, skipped 47496 low quality
Processed 240000 lines, found 368 nested pairs, skipped 49685 low quality
Processed 250000 lines, found 395 nested pairs, skipped 51891 low quality
Processed 260000 lines, found 411 nested pairs, skipped 54012 low quality
Processed 270000 lines, found 435 nested pairs, skipped 56183 low quality
Processed 280000 lines, found 445 nested pairs, skipped 58337 low quality
Processed 290000 lines, found 463 nested pairs, skipped 60449 low quality
Processed 300000 lines, found 475 nested pairs, skipped 62538 low quality
Processed 310000 lines, found 485 nested pairs, skipped 64579 low quality
Processed 320000 lines, found 487 nested pairs, skipped 65971 low quality
Processed 330000 lines, found 489 nested pairs, skipped 67323 low quality
Processed 340000 lines, found 489 nested pairs, skipped 68675 low quality
Processed 350000 lines, found 492 nested pairs, skipped 70111 low quality
Processed 360000 lines, found 498 nested pairs, skipped 71529 low quality
Processed 370000 lines, found 499 nested pairs, skipped 73389 low quality
Processed 380000 lines, found 500 nested pairs, skipped 75406 low quality
Processed 390000 lines, found 505 nested pairs, skipped 77448 low quality
Processed 400000 lines, found 507 nested pairs, skipped 79404 low quality
Processed 410000 lines, found 510 nested pairs, skipped 81381 low quality
Processed 420000 lines, found 513 nested pairs, skipped 83430 low quality
Processed 430000 lines, found 515 nested pairs, skipped 85453 low quality
Processed 440000 lines, found 516 nested pairs, skipped 87462 low quality
Processed 450000 lines, found 522 nested pairs, skipped 89068 low quality
Processed 460000 lines, found 523 nested pairs, skipped 90276 low quality
Processed 470000 lines, found 523 nested pairs, skipped 91565 low quality
Processed 480000 lines, found 526 nested pairs, skipped 92755 low quality
Processed 490000 lines, found 528 nested pairs, skipped 94023 low quality
Processed 500000 lines, found 529 nested pairs, skipped 95197 low quality
Processed 510000 lines, found 529 nested pairs, skipped 96377 low quality
Processed 520000 lines, found 530 nested pairs, skipped 97588 low quality
Processed 530000 lines, found 530 nested pairs, skipped 98716 low quality
Processed 540000 lines, found 548 nested pairs, skipped 100607 low quality
Processed 550000 lines, found 562 nested pairs, skipped 102584 low quality
Processed 560000 lines, found 570 nested pairs, skipped 104577 low quality
Processed 570000 lines, found 573 nested pairs, skipped 106437 low quality
Processed 580000 lines, found 575 nested pairs, skipped 108506 low quality
Processed 590000 lines, found 580 nested pairs, skipped 110425 low quality
Processed 600000 lines, found 590 nested pairs, skipped 112289 low quality
Processed 610000 lines, found 606 nested pairs, skipped 114274 low quality
Processed 620000 lines, found 632 nested pairs, skipped 116543 low quality
Processed 630000 lines, found 665 nested pairs, skipped 118988 low quality
Processed 640000 lines, found 690 nested pairs, skipped 121344 low quality
Processed 650000 lines, found 707 nested pairs, skipped 123387 low quality
Processed 660000 lines, found 717 nested pairs, skipped 125377 low quality
Processed 670000 lines, found 730 nested pairs, skipped 127528 low quality
Processed 680000 lines, found 738 nested pairs, skipped 129537 low quality
Processed 690000 lines, found 747 nested pairs, skipped 131464 low quality
Processed 700000 lines, found 748 nested pairs, skipped 133522 low quality
Processed 710000 lines, found 748 nested pairs, skipped 135565 low quality
Processed 720000 lines, found 749 nested pairs, skipped 137561 low quality
Processed 730000 lines, found 752 nested pairs, skipped 139555 low quality
Processed 740000 lines, found 753 nested pairs, skipped 141547 low quality
Processed 750000 lines, found 756 nested pairs, skipped 143591 low quality
Processed 760000 lines, found 758 nested pairs, skipped 145535 low quality
Processed 770000 lines, found 759 nested pairs, skipped 147294 low quality
Processed 780000 lines, found 763 nested pairs, skipped 148594 low quality
Processed 790000 lines, found 770 nested pairs, skipped 150517 low quality
Processed 800000 lines, found 785 nested pairs, skipped 152513 low quality
Processed 810000 lines, found 792 nested pairs, skipped 154187 low quality
Processed 820000 lines, found 793 nested pairs, skipped 156370 low quality
Processed 830000 lines, found 796 nested pairs, skipped 158413 low quality
Processed 840000 lines, found 796 nested pairs, skipped 159991 low quality
Processed 850000 lines, found 796 nested pairs, skipped 162448 low quality
Processed 860000 lines, found 797 nested pairs, skipped 164147 low quality
Processed 870000 lines, found 807 nested pairs, skipped 165905 low quality
Processed 880000 lines, found 811 nested pairs, skipped 167801 low quality
Processed 890000 lines, found 832 nested pairs, skipped 169794 low quality
Processed 900000 lines, found 834 nested pairs, skipped 172692 low quality
Processed 910000 lines, found 847 nested pairs, skipped 174669 low quality
Processed 920000 lines, found 865 nested pairs, skipped 176808 low quality
Processed 930000 lines, found 886 nested pairs, skipped 179025 low quality
Processed 940000 lines, found 893 nested pairs, skipped 180886 low quality
Processed 950000 lines, found 900 nested pairs, skipped 182991 low quality
Processed 960000 lines, found 931 nested pairs, skipped 185092 low quality
Processed 970000 lines, found 935 nested pairs, skipped 186718 low quality
Processed 980000 lines, found 940 nested pairs, skipped 188311 low quality
Processed 990000 lines, found 944 nested pairs, skipped 189916 low quality
Processed 1000000 lines, found 956 nested pairs, skipped 191975 low quality
Processed 1010000 lines, found 978 nested pairs, skipped 194067 low quality
Processed 1020000 lines, found 994 nested pairs, skipped 196169 low quality
Processed 1030000 lines, found 998 nested pairs, skipped 198294 low quality
Processed 1040000 lines, found 1011 nested pairs, skipped 200452 low quality
Processed 1050000 lines, found 1023 nested pairs, skipped 202376 low quality
Processed 1060000 lines, found 1029 nested pairs, skipped 204539 low quality
Processed 1070000 lines, found 1030 nested pairs, skipped 206546 low quality
Processed 1080000 lines, found 1034 nested pairs, skipped 208290 low quality
Processed 1090000 lines, found 1037 nested pairs, skipped 209887 low quality
Processed 1100000 lines, found 1039 nested pairs, skipped 211618 low quality
Processed 1110000 lines, found 1039 nested pairs, skipped 213314 low quality
Processed 1120000 lines, found 1041 nested pairs, skipped 214677 low quality
Processed 1130000 lines, found 1042 nested pairs, skipped 215949 low quality
Processed 1140000 lines, found 1043 nested pairs, skipped 217304 low quality
Processed 1150000 lines, found 1045 nested pairs, skipped 218717 low quality
Processed 1160000 lines, found 1053 nested pairs, skipped 220516 low quality
Processed 1170000 lines, found 1058 nested pairs, skipped 222243 low quality
Processed 1180000 lines, found 1061 nested pairs, skipped 223842 low quality
Processed 1190000 lines, found 1066 nested pairs, skipped 225512 low quality
Processed 1200000 lines, found 1088 nested pairs, skipped 227675 low quality
Processed 1210000 lines, found 1111 nested pairs, skipped 229864 low quality
Processed 1220000 lines, found 1134 nested pairs, skipped 232105 low quality
Processed 1230000 lines, found 1159 nested pairs, skipped 234222 low quality
Processed 1240000 lines, found 1191 nested pairs, skipped 236492 low quality
Processed 1250000 lines, found 1201 nested pairs, skipped 238570 low quality
Processed 1260000 lines, found 1228 nested pairs, skipped 240725 low quality
Processed 1270000 lines, found 1243 nested pairs, skipped 242708 low quality
Processed 1280000 lines, found 1267 nested pairs, skipped 244743 low quality
Processed 1290000 lines, found 1279 nested pairs, skipped 246799 low quality
Processed 1300000 lines, found 1290 nested pairs, skipped 248859 low quality
Processed 1310000 lines, found 1297 nested pairs, skipped 250902 low quality
Processed 1320000 lines, found 1302 nested pairs, skipped 253046 low quality
Processed 1330000 lines, found 1306 nested pairs, skipped 254862 low quality
Processed 1340000 lines, found 1317 nested pairs, skipped 256694 low quality
Processed 1350000 lines, found 1325 nested pairs, skipped 258457 low quality
Processed 1360000 lines, found 1333 nested pairs, skipped 260314 low quality
Processed 1370000 lines, found 1333 nested pairs, skipped 262100 low quality
Processed 1380000 lines, found 1341 nested pairs, skipped 264249 low quality
Processed 1390000 lines, found 1350 nested pairs, skipped 266437 low quality
Processed 1400000 lines, found 1355 nested pairs, skipped 268357 low quality
Processed 1410000 lines, found 1362 nested pairs, skipped 270369 low quality
Processed 1420000 lines, found 1366 nested pairs, skipped 272531 low quality
