Starting TSV processing...
Reading TSV file: outputs/uniref50_nested_domain_pairs.tsv
Dataset shape: (129170, 7)
Columns: ['uniprot_id', 'parent_ted', 'parent_boundaries', 'parent_cath', 'insert_ted', 'insert_boundaries', 'insert_cath']
Found 467 unique insert_cath values
Insert CATH: 3.50.50.60 -> 4 unique parent CATHs
Insert CATH: 3.40.50.10090 -> 3 unique parent CATHs
Insert CATH: 3.40.190.10 -> 4 unique parent CATHs
Insert CATH: 1.10.287.470 -> 2 unique parent CATHs
Insert CATH: 3.40.190.290 -> 2 unique parent CATHs
Insert CATH: 3.30.2090.10 -> 5 unique parent CATHs
Insert CATH: 3.40.228.10 -> 2 unique parent CATHs
Insert CATH: 1.10.290.10 -> 3 unique parent CATHs
Insert CATH: 3.90.740.10 -> 3 unique parent CATHs
Insert CATH: 3.40.710.10 -> 1 unique parent CATHs
Insert CATH: 3.40.50.720 -> 9 unique parent CATHs
Insert CATH: 1.20.1050.90 -> 1 unique parent CATHs
Insert CATH: 1.10.486.10 -> 2 unique parent CATHs
Insert CATH: 3.40.50.1000 -> 2 unique parent CATHs
Insert CATH: 1.20.990.10 -> 1 unique parent CATHs
Insert CATH: 3.40.190.100 -> 1 unique parent CATHs
Insert CATH: 3.40.50.2300 -> 2 unique parent CATHs
Insert CATH: 1.10.760.10 -> 1 unique parent CATHs
Insert CATH: 3.90.660.10 -> 2 unique parent CATHs
Insert CATH: 3.40.50.300 -> 5 unique parent CATHs
Insert CATH: 3.20.20.10 -> 2 unique parent CATHs
Insert CATH: 3.40.190.90 -> 1 unique parent CATHs
Insert CATH: 1.20.1050.10 -> 1 unique parent CATHs
Insert CATH: 3.30.470.20 -> 3 unique parent CATHs
Insert CATH: 3.30.70.1560 -> 2 unique parent CATHs
Insert CATH: 3.30.70.980 -> 2 unique parent CATHs
Insert CATH: 2.60.120.260 -> 26 unique parent CATHs
Insert CATH: 1.10.340.30 -> 2 unique parent CATHs
Insert CATH: 2.40.50.360 -> 1 unique parent CATHs
Insert CATH: 1.10.400.10 -> 1 unique parent CATHs
Insert CATH: 3.30.505.10 -> 2 unique parent CATHs
Insert CATH: 3.10.310.70 -> 1 unique parent CATHs
Insert CATH: 3.50.7.10 -> 2 unique parent CATHs
Insert CATH: 3.40.50.790 -> 1 unique parent CATHs
Insert CATH: 3.90.700.10 -> 1 unique parent CATHs
Insert CATH: 3.40.640.10 -> 1 unique parent CATHs
Insert CATH: 3.30.2350.10 -> 3 unique parent CATHs
Insert CATH: 2.170.120.12 -> 3 unique parent CATHs
Insert CATH: 1.20.1580.10 -> 1 unique parent CATHs
Insert CATH: 3.30.310.160 -> 1 unique parent CATHs
Insert CATH: 1.10.3260.10 -> 1 unique parent CATHs
Insert CATH: 3.40.50.1100 -> 1 unique parent CATHs
Insert CATH: 2.40.50.150 -> 1 unique parent CATHs
Insert CATH: 3.90.640.10 -> 1 unique parent CATHs
Insert CATH: 3.40.50.10800 -> 1 unique parent CATHs
Insert CATH: 3.40.50.10890 -> 1 unique parent CATHs
Insert CATH: 3.30.9.10 -> 2 unique parent CATHs
Insert CATH: 2.60.120.10 -> 2 unique parent CATHs
Insert CATH: 1.10.1370.40 -> 1 unique parent CATHs
Insert CATH: 2.30.42.10 -> 6 unique parent CATHs
Insert CATH: 3.90.660.20 -> 1 unique parent CATHs
Insert CATH: 1.10.8.280 -> 2 unique parent CATHs
Insert CATH: 3.30.1590.10 -> 1 unique parent CATHs
Insert CATH: 3.90.800.10 -> 2 unique parent CATHs
Insert CATH: 3.40.1450.10 -> 1 unique parent CATHs
Insert CATH: 3.30.420.10 -> 7 unique parent CATHs
Insert CATH: 1.10.3110.10 -> 2 unique parent CATHs
Insert CATH: 3.30.70.360 -> 2 unique parent CATHs
Insert CATH: 3.30.420.40 -> 3 unique parent CATHs
Insert CATH: 3.30.1240.20 -> 1 unique parent CATHs
Insert CATH: 3.40.50.12580 -> 3 unique parent CATHs
Insert CATH: 3.30.360.10 -> 1 unique parent CATHs
Insert CATH: 1.10.287.2610 -> 2 unique parent CATHs
Insert CATH: 3.40.50.460 -> 1 unique parent CATHs
Insert CATH: 1.10.510.10 -> 4 unique parent CATHs
Insert CATH: 3.40.190.120 -> 1 unique parent CATHs
Insert CATH: 3.10.450.60 -> 2 unique parent CATHs
Insert CATH: 2.60.40.10 -> 19 unique parent CATHs
Insert CATH: 2.60.40.1170 -> 1 unique parent CATHs
Insert CATH: 3.30.1370.100 -> 1 unique parent CATHs
Insert CATH: 3.40.50.1860 -> 1 unique parent CATHs
Insert CATH: 3.40.718.10 -> 2 unique parent CATHs
Insert CATH: 3.30.559.70 -> 1 unique parent CATHs
Insert CATH: 2.60.120.680 -> 4 unique parent CATHs
Insert CATH: 3.40.1010.20 -> 2 unique parent CATHs
Insert CATH: 3.50.50.100 -> 2 unique parent CATHs
Insert CATH: 1.10.132.10 -> 1 unique parent CATHs
Insert CATH: 3.30.70.60 -> 2 unique parent CATHs
Insert CATH: 3.40.50.1980 -> 3 unique parent CATHs
Insert CATH: 3.30.70.1070 -> 13 unique parent CATHs
Insert CATH: 3.30.410.10 -> 1 unique parent CATHs
Insert CATH: 2.30.39.10 -> 1 unique parent CATHs
Insert CATH: 3.90.1110.10 -> 1 unique parent CATHs
Insert CATH: 2.60.120.230 -> 2 unique parent CATHs
Insert CATH: 3.10.28.10 -> 2 unique parent CATHs
Insert CATH: 3.30.300.10 -> 1 unique parent CATHs
Insert CATH: 2.60.120.380 -> 8 unique parent CATHs
Insert CATH: 2.40.320.10 -> 1 unique parent CATHs
Insert CATH: 3.40.1390.30 -> 1 unique parent CATHs
Insert CATH: 3.30.70.2190 -> 1 unique parent CATHs
Insert CATH: 3.50.30.30 -> 3 unique parent CATHs
Insert CATH: 2.40.30.170 -> 1 unique parent CATHs
Insert CATH: 3.10.580.10 -> 2 unique parent CATHs
Insert CATH: 3.40.50.410 -> 12 unique parent CATHs
Insert CATH: 3.30.70.330 -> 4 unique parent CATHs
Insert CATH: 3.30.519.10 -> 1 unique parent CATHs
Insert CATH: 2.60.120.430 -> 5 unique parent CATHs
Insert CATH: 3.30.40.10 -> 2 unique parent CATHs
Insert CATH: 3.30.300.370 -> 1 unique parent CATHs
Insert CATH: 3.40.50.12650 -> 1 unique parent CATHs
Insert CATH: 3.30.70.3190 -> 1 unique parent CATHs
Insert CATH: 3.30.1950.10 -> 2 unique parent CATHs
Insert CATH: 1.10.3530.10 -> 1 unique parent CATHs
Insert CATH: 3.40.1030.10 -> 1 unique parent CATHs
Insert CATH: 3.30.365.10 -> 1 unique parent CATHs
Insert CATH: 3.30.160.20 -> 1 unique parent CATHs
Insert CATH: 3.90.180.10 -> 1 unique parent CATHs
Insert CATH: 2.30.30.140 -> 5 unique parent CATHs
Insert CATH: 3.30.260.10 -> 1 unique parent CATHs
Insert CATH: 1.10.405.10 -> 1 unique parent CATHs
Insert CATH: 3.40.390.10 -> 1 unique parent CATHs
Insert CATH: 3.40.1110.10 -> 2 unique parent CATHs
Insert CATH: 3.90.660.50 -> 1 unique parent CATHs
Insert CATH: 1.20.120.980 -> 1 unique parent CATHs
Insert CATH: 2.60.120.970 -> 1 unique parent CATHs
Insert CATH: 3.30.450.40 -> 2 unique parent CATHs
Insert CATH: 1.20.1440.210 -> 1 unique parent CATHs
Insert CATH: 1.10.40.60 -> 1 unique parent CATHs
Insert CATH: 2.60.120.200 -> 10 unique parent CATHs
Insert CATH: 3.40.50.10490 -> 1 unique parent CATHs
Insert CATH: 3.10.310.10 -> 1 unique parent CATHs
Insert CATH: 3.30.70.1990 -> 1 unique parent CATHs
Insert CATH: 2.60.40.4290 -> 2 unique parent CATHs
Insert CATH: 3.50.80.20 -> 1 unique parent CATHs
Insert CATH: 3.10.620.30 -> 2 unique parent CATHs
Insert CATH: 3.20.70.20 -> 1 unique parent CATHs
Insert CATH: 3.20.20.70 -> 1 unique parent CATHs
Insert CATH: 1.10.10.160 -> 2 unique parent CATHs
Insert CATH: 3.30.720.100 -> 2 unique parent CATHs
Insert CATH: 3.30.300.160 -> 1 unique parent CATHs
Insert CATH: 3.30.70.1620 -> 5 unique parent CATHs
Insert CATH: 3.30.450.20 -> 4 unique parent CATHs
Insert CATH: 3.40.140.100 -> 1 unique parent CATHs
Insert CATH: 1.10.287.70 -> 1 unique parent CATHs
Insert CATH: 3.30.1360.40 -> 2 unique parent CATHs
Insert CATH: 3.90.79.10 -> 2 unique parent CATHs
Insert CATH: 2.170.16.10 -> 5 unique parent CATHs
Insert CATH: 2.60.40.1120 -> 8 unique parent CATHs
Insert CATH: 3.30.1240.10 -> 1 unique parent CATHs
Insert CATH: 2.40.30.40 -> 1 unique parent CATHs
Insert CATH: 3.40.50.620 -> 3 unique parent CATHs
Insert CATH: 1.10.1740.140 -> 1 unique parent CATHs
Insert CATH: 1.10.630.10 -> 3 unique parent CATHs
Insert CATH: 3.30.9.30 -> 1 unique parent CATHs
Insert CATH: 1.10.3980.10 -> 1 unique parent CATHs
Insert CATH: 3.90.1410.10 -> 2 unique parent CATHs
Insert CATH: 3.90.105.10 -> 1 unique parent CATHs
Insert CATH: 2.60.120.1440 -> 1 unique parent CATHs
Insert CATH: 2.40.30.10 -> 3 unique parent CATHs
Insert CATH: 2.60.98.40 -> 4 unique parent CATHs
Insert CATH: 3.40.50.11390 -> 1 unique parent CATHs
Insert CATH: 3.30.1360.200 -> 1 unique parent CATHs
Insert CATH: 1.10.287.1490 -> 3 unique parent CATHs
Insert CATH: 3.30.1360.30 -> 1 unique parent CATHs
Insert CATH: 3.40.50.11660 -> 1 unique parent CATHs
Insert CATH: 2.30.30.30 -> 1 unique parent CATHs
Insert CATH: 1.10.10.10 -> 5 unique parent CATHs
Insert CATH: 3.40.50.2000 -> 4 unique parent CATHs
Insert CATH: 3.40.50.10710 -> 1 unique parent CATHs
Insert CATH: 2.60.40.420 -> 6 unique parent CATHs
Insert CATH: 2.60.40.1190 -> 1 unique parent CATHs
Insert CATH: 3.40.630.30 -> 4 unique parent CATHs
Insert CATH: 3.90.1640.30 -> 2 unique parent CATHs
Insert CATH: 3.40.50.1240 -> 2 unique parent CATHs
Insert CATH: 3.30.1760.10 -> 1 unique parent CATHs
Insert CATH: 2.60.40.1080 -> 1 unique parent CATHs
Insert CATH: 3.40.50.980 -> 2 unique parent CATHs
Insert CATH: 1.10.405.20 -> 1 unique parent CATHs
Insert CATH: 3.30.70.420 -> 1 unique parent CATHs
Insert CATH: 3.40.50.150 -> 2 unique parent CATHs
Insert CATH: 3.30.980.10 -> 2 unique parent CATHs
Insert CATH: 2.60.40.740 -> 2 unique parent CATHs
Insert CATH: 2.10.110.10 -> 1 unique parent CATHs
Insert CATH: 2.170.260.10 -> 1 unique parent CATHs
Insert CATH: 2.60.40.1110 -> 1 unique parent CATHs
Insert CATH: 3.30.190.20 -> 2 unique parent CATHs
